card,card_type,ability,part,timing,attack_side,resolution,affects_self,affects_others,conditional,limit,surge_option,effect,pipelines,notes
[Fury of Kashyyyk],Upgrade,[Fury of Kashyyyk],2,when_suffers_damage,None,automatic,TRUE,a friendly WOOKIEE,a friendly WOOKIEE suffers 3 or more Damage,None,FALSE,When a friendly WOOKIEE suffers 3 or more Damage that figure becomes Focused,condition,None
[Fury of Kashyyyk],Upgrade,[Fury of Kashyyyk],3,attack:modifiers,attacker,automatic,TRUE,a friendly elite WOOKIEE; the defender within 2,friendly elite WOOKIEE attacking a figure within 2 and another friendly WOOKIEE within 2 of the defender,None,FALSE,Apply Pierce 1 to the attack results,damage,None
[Headhunter],Attachment,[Headhunter],1,when_suffers_strain,None,prompt,FALSE,a hostile figure,a hostile figure suffers Strain during your activation,None,FALSE,"Exhaust this card to reduce the Strain suffered by 1; then the controlling player discards 1 random Command card, or if he cannot that figure suffers 1 Damage",strain;cc_discard;damage,None
[Heavy Fire],Upgrade,[Heavy Fire],1,attack:after_resolves,attacker,prompt,FALSE,hostile figures within 2 of the target space,a friendly VEHICLE or HEAVY WEAPON resolves an attack,None,FALSE,"For each die in the figure's printed attack pool, choose 1 hostile figure within 2 of the target space; each chosen figure suffers 1 Damage; then for each chosen figure the attacker gains 1 HARMFUL condition of your opponent's choice",damage;condition,None
[Heir to the Jedi],Attachment,[Heir to the Jedi],1,attack:rerolls,attacker,prompt,TRUE,None,while attacking,None,FALSE,While attacking you may reroll 1 attack die,reroll,None
[Heir to the Jedi],Attachment,[Heir to the Jedi],2,attack:modifiers,attacker,automatic,TRUE,None,when you declare a Ranged attack,None,FALSE,When you declare a Ranged attack apply +1 Damage to the attack results,damage,None
[Heir to the Jedi],Attachment,[Heir to the Jedi],3,attack:on_declare,attacker,automatic,TRUE,None,before you declare an attack using Saber Strike,None,FALSE,Before you declare an attack using Saber Strike you become Focused,condition,None
[Heroic Effort],Upgrade,[Heroic Effort],1,when_defeated,None,prompt,TRUE,None,when one of your unique figures is defeated,None,FALSE,"When one of your unique figures is defeated, draw 1 Command card then place 1 Command card from your hand on the bottom of your deck",cc_draw,None
[Imperial Citadel],Upgrade,[Imperial Citadel],1,when_defeated,None,automatic,TRUE,a friendly Imperial figure,a friendly Imperial figure is defeated with Power Tokens on it,None,FALSE,"When a friendly Imperial figure is defeated, for each Power Token on it place a matching Power Token on this card",None,None
[Imperial Citadel],Upgrade,[Imperial Citadel],2,start_of_activation,None,prompt,TRUE,a friendly Imperial figure,None,None,FALSE,At the start of a friendly Imperial figure's activation it may gain 1 Power Token from this card,None,None
[Imperial Citadel],Upgrade,[Imperial Citadel],3,start_of_round,None,automatic,TRUE,None,None,None,FALSE,At the start of each round place 1 Damage or Block on this card,damage_token,None
[Imperial Retrofitting],Upgrade,[Imperial Retrofitting],1,start_of_activation,None,prompt,TRUE,a friendly MASSIVE VEHICLE,at the start of a friendly MASSIVE VEHICLE's activation with a matching name,None,FALSE,"Exhaust this card to choose: that figure may perform multiple attacks this activation, or that figure performs a move",move,None
[Imperial Retrofitting],Upgrade,[Imperial Retrofitting],2,attack:on_declare,attacker,prompt,TRUE,a friendly MASSIVE VEHICLE,before a friendly MASSIVE VEHICLE with a matching name declares an attack,None,FALSE,Deplete this card before a friendly MASSIVE VEHICLE with a matching name declares an attack; that figure becomes Focused,condition,None
[Indentured Jester],Attachment,[Indentured Jester],1,during_setup,None,automatic,TRUE,Salacious B. Crumb companion,at the start of the mission,None,FALSE,Place the Salacious B. Crumb companion in your space; it activates at the start or end of your activation and is not counted for control,companion_place,None
[Last Resort],Attachment,[Last Resort],1,when_suffers_damage_equal_to_health,None,prompt,FALSE,each figure and object on or adjacent to that figure,a figure in this group has suffered Damage equal to its Health,None,FALSE,"Deplete this card before that figure is defeated; roll 1 red die, each figure and object on or adjacent to it suffers Damage equal to the Damage results",damage,None
[Lie in Ambush],Attachment,[Lie in Ambush],1,before_deployment,None,automatic,TRUE,None,None,None,FALSE,"Before Deployment, set one of your groups aside out of play and attach this to it; this group does not deploy during deployment",None,None
[Lie in Ambush],Attachment,[Lie in Ambush],2,during_activation,None,prompt,TRUE,None,after an opponent activates a group with 3+ exhausted or defeated groups and not the first round,None,FALSE,Deploy this group to any deployment zone,None,None
[Mortar Trooper],Attachment,Fire Mission,1,special_action,attacker,prompt,TRUE,None,None,None,FALSE,Double Action Special: perform an attack; you may draw line of sight from any figure in this group but measure range from this figure; apply Blast 1 to the attack results,damage,None
[Mortar Trooper],Attachment,Guidance Systems,1,attack:modifiers,attacker,prompt,TRUE,None,while attacking,once per attack,FALSE,While attacking you may apply -1 Damage and +2 Accuracy to the attack results,damage,[CHANGED 2026-06-21 IACP update — does not match printed text]
[Mortar Trooper],Attachment,Haul,1,always,None,automatic,TRUE,None,while moving,None,FALSE,While moving treat blocking and impassable terrain as difficult terrain,movement,None
[Motivation],Attachment,Motivation,1,during_activation,None,prompt,TRUE,a friendly figure with lower figure cost and line of sight,line of sight to you and lower figure cost,None,FALSE,"Exhaust during your activation; chosen figure may discard a HARMFUL condition or recover 1 Damage, then gains 1 movement point",condition;recover;gain_mp,use timing
[Nemik's Manifesto],Upgrade,Nemik's Manifesto,1,always,None,automatic,TRUE,None,None,None,FALSE,Your command deck may include up to 3 additional Command cards,None,deck-building effect
[Nemik's Manifesto],Upgrade,Nemik's Manifesto,2,during_activation,None,prompt,TRUE,a friendly figure,None,None,FALSE,Exhaust during a friendly figure's activation to have that figure suffer 2 Strain and gain 1 movement point,strain;gain_mp,None
[On a Diplomatic Mission],Attachment,On a Diplomatic Mission,1,end_of_activation,None,prompt,TRUE,None,you did not perform an attack this activation,None,FALSE,Exhaust at end of your activation if you did not attack to choose one of three options,gain_mp;vp,use timing with options
[On a Diplomatic Mission],Attachment,On a Diplomatic Mission,2,end_of_activation,None,prompt,TRUE,None,you did not perform an attack this activation,None,FALSE,You gain 2 movement points,gain_mp,option 1
[On a Diplomatic Mission],Attachment,On a Diplomatic Mission,3,attack:modifiers,defender,automatic,TRUE,None,you did not perform an attack this activation,until end of round,FALSE,"Until end of round, apply +1 Evade to your defense results",None,option 2 effect timing
[On a Diplomatic Mission],Attachment,On a Diplomatic Mission,4,end_of_activation,None,prompt,TRUE,None,you did not perform an attack this activation,None,FALSE,You gain 1 VP,vp,option 3
[Orbital Bombardment],Attachment,Orbital Bombardment,1,special_action,None,prompt,TRUE,None,None,None,FALSE,"Special Action: Place Bombardment tokens on this card equal to current round number, then you may perform an attack",damage_token,special action
[Orbital Bombardment],Attachment,Orbital Bombardment,2,start_of_activation,None,prompt,TRUE,each figure on a chosen space,None,None,FALSE,Deplete at start of activation to choose spaces equal to Bombardment tokens; each figure on a chosen space suffers 2 Damage,damage,None
[Overwatch],Attachment,Overwatch,1,during_setup,None,automatic,TRUE,None,None,None,FALSE,Choose an Overwatch token to be associated with this group,None,setup
[Overwatch],Attachment,Overwatch,2,special_action,None,prompt,TRUE,None,within your line of sight,None,FALSE,Special Action: Place this group's Overwatch token in a space within your line of sight,move,special action
[Overwatch],Attachment,Overwatch,3,during_activation,None,prompt,FALSE,a hostile figure entering on or adjacent to the Overwatch token,a hostile figure enters a space on or adjacent to the Overwatch token,None,FALSE,"Exhaust to interrupt and perform an attack targeting that figure, then remove that Overwatch token",None,interrupt attack
[Prey on the Weak],Attachment,Prey on the Weak,1,attack:modifiers,attacker,automatic,TRUE,the attack target,target figure cost lower than yours,None,FALSE,"While attacking a figure with lower figure cost, apply Pierce 1 and +1 Accuracy to the attack results",None,None
[Punishing Strike],Upgrade,Punishing Strike,1,during_activation,None,prompt,TRUE,a figure with the condition,one of your figures applies a HARMFUL condition to a figure,None,FALSE,Exhaust when one of your figures applies a HARMFUL condition; discard that condition and apply a different HARMFUL condition of your choice,condition,trigger window not a standard timing
[Rebel High Command],Upgrade,Rebel High Command,1,end_of_round,None,automatic,TRUE,None,None,None,FALSE,"At the end of each game round, draw 1 additional Command card",cc_draw,None
[Rogue One],Upgrade,Rogue One,1,attack:modifiers,attacker,prompt,TRUE,a listed friendly figure attacking,a listed friendly figure is attacking,None,FALSE,"While a listed friendly figure is attacking, it may discard 1 Power Token of any type from another friendly figure to add +1 Damage to the attack results",damage_token,None
[Rogue One],Upgrade,Rogue One,2,start_of_round,None,prompt,TRUE,None,first game round,None,FALSE,"At the start of the first game round, draw 3 Command cards, then place 2 Command cards from your hand on top of your deck",cc_draw;cc_discard,first round
[Rogue Smuggler],Attachment,Rogue Smuggler,1,attack:rerolls,attacker,prompt,TRUE,None,None,None,FALSE,"While attacking, you may reroll 1 attack die",reroll,None
[Rogue Smuggler],Attachment,Rogue Smuggler,2,end_of_round,None,prompt,TRUE,None,None,None,FALSE,Exhaust at the end of the round to interrupt to perform an attack,None,interrupt attack
[Rule by Fear],Upgrade,Rule by Fear,1,start_of_round,None,prompt,TRUE,None,first game round,None,FALSE,"At the start of the first game round, draw 2 Command cards, then choose 1 card in your hand to discard",cc_draw;cc_discard,first round
[Scavenged Walker],Attachment,Scavenged Walker,1,after_deployment,None,prompt,TRUE,None,None,None,FALSE,"After deployment, you may perform a move",move,None
[Scavenged Walker],Attachment,Scavenged Walker,2,end_of_round,None,prompt,TRUE,None,None,None,FALSE,"At the end of the round, you may interrupt to perform an attack; apply -1 Damage to the attack results",None,interrupt attack
[Scavenged Weaponry],Attachment,Scavenged Weaponry,1,attack:on_declare,attacker,prompt,TRUE,None,None,exhaust,FALSE,Exhaust when you declare an attack to apply +1 Damage to the attack results,None,None
[Scavenged Weaponry],Attachment,Scavenged Weaponry,2,when_defeated,None,prompt,TRUE,a friendly DROID or VEHICLE group,last figure in this group is defeated,None,FALSE,"When the last figure in this group is defeated, you may attach this card to a friendly DROID or VEHICLE group",None,None
[Smuggler's Run],Attachment,Smuggler's Run,1,special_action,None,prompt,TRUE,None,you are in your opponent's deployment zone,None,FALSE,Special Action: Deplete this card while in your opponent's deployment zone; you gain 5 VPs,vp,special action
[Smuggling Compartment],Upgrade,Smuggling Compartment,1,when_opponent_plays_cc,None,prompt,TRUE,None,before opponent resolves a Command card or ability,None,FALSE,Exhaust to set aside any number of Command cards from your hand; return them at the start of the next activation or phase,cc_discard,None
[Smuggling Compartment],Upgrade,Smuggling Compartment,2,start_of_round,None,prompt,TRUE,None,before the start of the Status Phase,None,FALSE,"Before the Status Phase, look at top and bottom cards of your Command deck; you may move 1 to the top or bottom",None,deck manipulation
[Spectre Cell],Upgrade,Spectre Cell,1,start_of_round,None,prompt,TRUE,friendly figures,None,once per round,FALSE,"At the start of the round, distribute one Damage token and one Block token amongst friendly figures",damage_token;block_token,errata (army-wide buff removed)
[Spectre Cell],Upgrade,Spectre Cell,2,during_activation,None,prompt,FALSE,another friendly figure,None,None,FALSE,Exhaust during a friendly figure's activation to choose another friendly figure; chosen figure gains 2 movement points and may interrupt to perform an attack,gain_mp,None
[Suppressive Fire],Attachment,Suppressive Fire,1,attack:after_resolves,attacker,prompt,FALSE,"the attack target, and another SMALL friendly figure within 3",Ranged attack did not miss,exhaust,FALSE,"Exhaust after resolving a Ranged attack; if not a miss, target becomes Weakened, then another SMALL friendly figure within 3 gains 2 movement points",condition;gain_mp,None
[Survivalist],Attachment,Survivalist,1,always,None,automatic,TRUE,None,None,None,FALSE,You ignore additional movement point costs for difficult terrain and hostile figures,movement,passive
[Survivalist],Attachment,Survivalist,2,end_of_round,None,automatic,TRUE,None,you are in an exterior space,None,FALSE,"At the end of each round, if you are in an exterior space, you recover 1 Damage",recover,None
[Targeting Computer],Attachment,Targeting Computer,1,attack:rerolls,attacker,prompt,TRUE,figures in this group,None,None,FALSE,"While attacking, figures in this group may reroll 1 attack die",reroll,None
[Technician Training],Upgrade,Technician Training,1,always,None,automatic,TRUE,listed named figures in all armies,None,None,FALSE,All figures in all armies with the listed names gain the TECHNICIAN trait,None,trait grant
[Temporary Alliance],Upgrade,Temporary Alliance,1,always,None,automatic,TRUE,None,None,None,FALSE,You may include up to 2 SCUM Deployment cards in your army,None,army building
[Temporary Alliance (M)],Upgrade,Temporary Alliance (M),1,always,None,automatic,TRUE,None,None,None,FALSE,You may include up to 2 REBEL Deployment cards in your army,None,army building
[The Darksaber],Attachment,The Darksaber,1,always,None,automatic,TRUE,None,you are a FORCE USER,None,FALSE,"If you are a FORCE USER, you may use IMPERIAL Command cards",None,passive
[The Darksaber],Attachment,The Darksaber,2,attack:rerolls,attacker,prompt,TRUE,None,None,exhaust,FALSE,Exhaust while attacking to reroll 1 attack die,reroll,None
[The Darksaber],Attachment,The Darksaber,3,special_action,None,prompt,TRUE,None,None,None,FALSE,"Special Action: Perform a Melee attack with 1 red die, treating Blast X as Cleave X during this attack, then you may perform an attack",None,special action
[The General's Ranks],Attachment,The General's Ranks,1,when_you_spend_mp,None,automatic,TRUE,None,not your activation,None,FALSE,"When you perform a move, if it is not your activation, you gain 2 additional movement points",gain_mp,None
[The General's Ranks],Attachment,The General's Ranks,2,attack:modifiers,attacker,automatic,TRUE,None,not your activation,None,FALSE,"When you perform an attack, if it is not your activation, apply +1 Damage to the attack results",None,None
[Trusted Ally],Attachment,Trusted Ally,1,attack:rerolls,attacker,prompt,FALSE,another friendly figure within 3,another friendly figure within 3 spaces is attacking,exhaust,FALSE,Exhaust while another friendly figure within 3 spaces is attacking; it may reroll 1 attack die,reroll,None
[Trusted Ally],Attachment,Trusted Ally,2,during_activation,None,prompt,FALSE,an adjacent friendly figure,None,None,FALSE,Exhaust during your activation; an adjacent friendly figure recovers 1 Damage or discards 1 HARMFUL condition,recover;condition,None
[Under Duress],Upgrade,Under Duress,1,when_suffers_strain,None,automatic,FALSE,a hostile figure,a hostile figure suffers Strain,None,FALSE,"When a hostile figure suffers Strain, for each resulting Damage they wish to prevent, the controlling player must discard 2 Command cards from the top of their deck instead of 1",cc_discard,affects opponent
[Under Duress],Upgrade,Under Duress,2,when_suffers_strain,None,prompt,FALSE,a hostile figure,a hostile figure suffers Strain,None,FALSE,Deplete when a hostile figure suffers Strain to resolve any choices for that Strain instead of your opponent,strain,None
[Unshakable],Upgrade,Unshakable,1,start_of_activation,None,prompt,TRUE,one of your figures with figure cost 9 or greater,figure cost 9 or greater,None,FALSE,Exhaust at the start of one of your activations and choose 1 of your figures with figure cost 9 or greater; that figure discards 1 HARMFUL condition and suffers 1 Strain,condition;strain,None
[Vader's Finest],Attachment,Vader's Finest,1,special_action,None,prompt,TRUE,None,None,None,FALSE,"Special Action: Perform an attack, then move up to 1 space",move,special action
[Vader's Finest],Attachment,Vader's Finest,2,special_action,None,prompt,TRUE,None,you have less than 2 dice in your printed attack pool,once per group per round,FALSE,"Special Action: If you have less than 2 dice in your printed attack pool, you become Focused",condition,special action
[Wookiee Avenger],Attachment,Wookiee Avenger,1,always,None,automatic,TRUE,None,None,None,FALSE,Passive Bonus: +1 Damage,None,passive
[Wookiee Avenger],Attachment,Wookiee Avenger,2,attack:modifiers,defender,automatic,TRUE,None,None,None,FALSE,"You lose Protector; while defending, convert all Dodge results to Evade results",None,None
[Wookiee Avenger],Attachment,Wookiee Avenger,3,during_setup,None,automatic,TRUE,None,None,None,FALSE,"During setup, search your Command deck for Debts Repaid, reveal it, put it into your hand, and shuffle; then draw 1 fewer card into your initial hand",cc_draw;cc_discard,setup
[Wookiee Avenger],Attachment,Wookiee Avenger,4,during_activation,None,prompt,TRUE,None,None,once per activation,FALSE,"Once during your activation, you may use Slam without spending an action",None,None
[Z-6 Trooper],Attachment,Z-6 Trooper,1,attack:on_declare,attacker,automatic,TRUE,None,before you declare an attack,None,FALSE,"Rotary Cannon: Before you declare an attack, become Focused",condition,None
[Z-6 Trooper],Attachment,Z-6 Trooper,2,special_action,None,prompt,FALSE,the defending figure,None,None,FALSE,Special Action (Autofire): Perform an attack; the defending figure adds one white die to its defense pool,None,special action
[Zillo Technique],Upgrade,Pierce Reduction,1,attack:zillo,defender,prompt,TRUE,a friendly figure that is defending,a friendly figure is defending,exhaust,FALSE,"Exhaust this card while a friendly figure is defending to reduce the Pierce value of the attack results by 2, to a minimum of 0",None,"combat zillo special stage, not a suffer-damage trigger (alexanbv 2026-06-16)"
[Zillo Technique],Upgrade,Block Boost,1,attack:modifiers,defender,prompt,TRUE,a friendly figure that is defending,a friendly figure is defending,once per attack,FALSE,"While a friendly figure is defending, discard 1 Command card to apply +1 Block to the defense results",cc_discard,None
0-0-0,DC,Invasive Procedure,1,special_action,None,prompt,TRUE,an adjacent figure,an adjacent figure,None,FALSE,"An adjacent figure suffers 1 Damage, 1 Strain, and becomes Bleeding. You become Focused",damage;strain;condition,special action
0-0-0,DC,Unnerving,1,end_of_activation,None,automatic,FALSE,each adjacent hostile figure,None,None,FALSE,"At the end of your activation, each adjacent hostile figure becomes Weakened",condition,None
4-LOM,DC,Programming Override,1,start_of_round,None,prompt,TRUE,None,None,None,FALSE,"At the start of each round, choose one TRAIT. You gain that TRAIT until the end of the round",None,None
4-LOM,DC,Shared Intuition,1,attack:modifiers,attacker,automatic,TRUE,None,another friendly HUNTER within 3 has line of sight to the target space,None,FALSE,"While attacking, if another friendly HUNTER within 3 spaces has line of sight to the target space, apply +1 Damage to your attack results",damage,None
88-Z,Companion DC,88-Z,1,always,None,automatic,TRUE,None,None,None,FALSE,No special ability text,None,no ability text in data
Agent Blaise,DC,Adapt,1,when_opponent_plays_cc,None,prompt,TRUE,1 chosen friendly SPY or TROOPER,first time opponent plays a Command card each round,once per round,FALSE,"The first time your opponent plays a Command card each round, choose 1 SPY or TROOPER. That figure becomes Hidden",condition,None
Agent Kallus,DC,Hunt Dissent,1,when_opponent_plays_cc,None,prompt,TRUE,friendly figures within 1,opponent plays a Command card,once per round,FALSE,"When your opponent plays a Command card, you may distribute 2 Damage Tokens among friendly figures within 1 space",damage_token,None
Agent Kallus,DC,Fulcrum,1,start_of_activation,None,prompt,TRUE,None,None,None,FALSE,"At the start of your activation, you may have each player draw 1 Command card",cc_draw,None
Agent Kallus,DC,Bo-Rifle,1,attack:on_declare,attacker,prompt,TRUE,None,None,None,FALSE,"Before you declare an attack, you may treat your attack type as Melee. If you do, replace 1 blue die with 1 red die",None,None
Ahsoka Tano,DC,Force Leap,1,special_action,None,prompt,TRUE,None,empty space within 6 spaces,None,FALSE,Place your figure in an empty space within 6 spaces,move,special action
Ahsoka Tano,DC,Vigor,1,start_of_activation,None,prompt,TRUE,None,None,None,FALSE,"At the start of your activation, you may gain 2 movement points or 1 Block Token",gain_mp,None
Ahsoka Tano,DC,Twin Sabers,1,attack:rerolls,attacker,prompt,TRUE,the defender,None,None,FALSE,"While attacking, you may reroll all attack die or force the defender to reroll all defense die",reroll,None
Alliance Ranger (Elite),DC,Guerilla,1,attack:after_resolves,attacker,automatic,TRUE,None,the defender was defeated,None,FALSE,Become Hidden,condition,None
Alliance Ranger (Elite),DC,Elite Sniper,1,attack:rerolls,attacker,prompt,TRUE,None,the target space is 5 or more spaces away,None,FALSE,"While attacking, if the target space is 5 or more spaces away, you may reroll up to 2 attack dice",reroll,None
Alliance Ranger (Regular),DC,Guerilla,1,attack:after_resolves,attacker,automatic,TRUE,None,the defender was defeated,None,FALSE,Become Hidden,condition,None
Alliance Ranger (Regular),DC,Sniper,1,attack:rerolls,attacker,automatic,TRUE,None,the target space is 5 or more spaces away,None,FALSE,"While attacking, if the target space is 5 or more spaces away, you reroll 1 attack die",reroll,None
Alliance Smuggler (Elite),DC,Improved Smuggler's Instincts,1,special_action,None,prompt,TRUE,None,None,None,FALSE,"Perform an interact, then move up to 3 spaces",interact;move,special action
Alliance Smuggler (Elite),DC,Slippery,1,attack:modifiers,defender,automatic,TRUE,None,None,None,FALSE,"While defending, apply -2 Accuracy to the attack results",None,None
Alliance Smuggler (Elite),DC,Slippery,2,attack:after_resolves,defender,automatic,TRUE,None,an attack targeting you resolves,None,FALSE,"After an attack targeting you resolves, gain 2 movement points",gain_mp,None
Alliance Smuggler (Regular),DC,Smuggler's Instincts,1,special_action,None,prompt,TRUE,None,None,None,FALSE,"Perform an interact, then move up to 2 spaces",interact;move,special action
Alliance Smuggler (Regular),DC,Slippery,1,attack:modifiers,defender,automatic,TRUE,None,None,None,FALSE,"While defending, apply -2 Accuracy to the attack results",None,None
Alliance Smuggler (Regular),DC,Slippery,2,attack:after_resolves,defender,automatic,TRUE,None,an attack targeting you resolves,None,FALSE,"After an attack targeting you resolves, gain 2 movement points",gain_mp,None
AT-DP,DC,Assault,1,during_activation,None,automatic,TRUE,None,None,None,FALSE,You can perform multiple attacks during your activation,None,None
